date,buy_price,sell_price
2010-03-31,26080,26130
2010-04-01,26070,26130
2010-04-02,26100,26150
2010-04-03,26100,26160
2010-04-04,26100,26160
2010-04-05,26120,26170
2010-04-06,26030,26090
2010-04-07,26090,26150
2010-04-08,26300,26360
2010-04-09,26470,26530
2010-04-10,26510,26570
2010-04-11,26510,26570
2010-04-12,26600,26670
2010-04-13,26350,26420
2010-04-14,26430,26490
2010-04-15,26410,26470
2010-04-16,26420,26480
2010-04-17,26270,26330
2010-04-18,26270,26330
2010-04-19,26150,26210
2010-04-20,26270,26330
2010-04-21,26300,26360
2010-04-22,26290,26350
2010-04-23,26250,26310
2010-04-24,26380,26450
2010-04-25,26380,26450
2010-04-26,26400,26450
2010-04-27,26350,26410
2010-04-28,26450,26500
2010-04-29,26500,26560
2010-04-30,26500,26560
2010-05-01,26500,26560
2010-05-02,26500,26560
2010-05-03,26500,26560
2010-05-04,26750,26810
2010-05-05,26640,26690
2010-05-06,26720,26780
2010-05-07,27230,27300
2010-05-08,27300,27400
2010-05-09,27300,27400
2010-05-10,27150,27210
2010-05-11,27470,27540
2010-05-12,28100,28200
2010-05-13,28070,28170
2010-05-14,28150,28220
2010-05-15,28050,28150
2010-05-16,28050,28150
2010-05-17,28110,28170
2010-05-18,27860,27930
2010-05-19,27700,27770
2010-05-20,27430,27490
2010-05-21,27350,27430
2010-05-22,27300,27370
2010-05-23,27300,27370
2010-05-24,27420,27480
2010-05-25,27530,27600
2010-05-26,27900,27970
2010-05-27,27760,27820
2010-05-28,27670,27730
2010-05-29,27680,27740
2010-05-30,27680,27740
2010-05-31,27660,27720
2010-06-01,27820,27880
2010-06-02,27820,27880
2010-06-03,27790,27850
2010-06-04,27630,27690
2010-06-05,27750,27820
2010-06-06,27750,27820
2010-06-07,27710,27770
2010-06-08,28250,28350
2010-06-09,28110,28170
2010-06-10,27900,27970
2010-06-11,27880,27930
2010-06-12,27950,28010
2010-06-13,27950,28010
2010-06-14,28030,28090
