date,buy_price,sell_price
2015-09-03,33970,34250
2015-09-04,33860,34180
2015-09-05,33890,34210
2015-09-06,33890,34210
2015-09-07,33920,34180
2015-09-08,33880,34130
2015-09-09,33920,34200
2015-09-10,33900,34100
2015-09-11,33930,34130
2015-09-12,33900,34150
2015-09-13,33900,34150
2015-09-14,33880,34080
2015-09-15,33870,34090
2015-09-16,33850,34080
2015-09-17,33980,34180
2015-09-18,34050,34270
2015-09-19,34080,34300
2015-09-20,34080,34300
2015-09-21,34020,34250
2015-09-22,33960,34180
2015-09-23,33830,34060
2015-09-24,33900,34110
2015-09-25,33950,34170
2015-09-26,33900,34150
2015-09-27,33900,34150
2015-09-28,33810,34030
2015-09-29,33660,33880
2015-09-30,33670,33900
2015-10-01,33620,33850
2015-10-02,33600,33820
2015-10-03,33720,33970
2015-10-04,33720,33970
2015-10-05,33710,33930
2015-10-06,33680,33900
2015-10-07,33730,33950
2015-10-08,33650,33870
2015-10-09,33740,33960
2015-10-10,33740,33960
2015-10-11,33740,33960
2015-10-12,33810,34040
2015-10-13,33750,33970
2015-10-14,33870,34090
2015-10-15,33940,34170
2015-10-16,33890,34120
2015-10-17,33860,34100
2015-10-18,33860,34100
2015-10-19,33760,33980
2015-10-20,33750,33970
2015-10-21,33760,33980
2015-10-22,33740,33960
2015-10-23,33780,34000
2015-10-24,33710,33960
2015-10-25,33710,33960
2015-10-26,33720,33940
2015-10-27,33730,33950
2015-10-28,33730,33950
2015-10-29,33650,33870
2015-10-30,33570,33800
2015-10-31,33550,33780
2015-11-01,33550,33780
2015-11-02,33560,33780
2015-11-03,33530,33750
2015-11-04,33330,33560
2015-11-05,33150,33380
2015-11-06,33220,33450
2015-11-07,33150,33380
2015-11-08,33150,33380
2015-11-09,33220,33440
2015-11-10,33250,33470
2015-11-11,33240,33460
2015-11-12,33230,33450
2015-11-13,33150,33370
2015-11-14,33140,33360
2015-11-15,33140,33360
2015-11-16,33260,33490
2015-11-17,33220,33450
2015-11-18,33080,33310
2015-11-19,33140,33370
2015-11-20,33200,33430
2015-11-21,33170,33400
2015-11-22,33170,33400
2015-11-23,33080,33320
2015-11-24,33050,33300
2015-11-25,33060,33300
2015-11-26,33060,33300
2015-11-27,33040,33280
2015-11-28,32940,33210
2015-11-29,32940,33210
2015-11-30,32860,33100
2015-12-01,32920,33160
2015-12-02,32870,33110
2015-12-03,32720,32960
2015-12-04,32780,33020
2015-12-05,32980,33220
2015-12-06,32980,33220
2015-12-07,32990,33240
2015-12-08,32950,33200
2015-12-09,33000,33250
2015-12-10,32950,33200
2015-12-11,32890,33140
2015-12-12,32940,33190
2015-12-13,32940,33190
2015-12-14,32870,33120
2015-12-15,32800,33050
2015-12-16,32830,33080
2015-12-17,32790,33060
2015-12-18,32710,32990
2015-12-19,32800,33050
2015-12-20,32800,33050
2015-12-21,32810,33080
2015-12-22,32820,33090
2015-12-23,32780,33050
2015-12-24,32800,33080
2015-12-25,32810,33090
2015-12-26,32800,33080
2015-12-27,32800,33080
2015-12-28,32750,33050
2015-12-29,32470,32870
2015-12-30,32320,32750
2015-12-31,32350,32800
2016-01-01,32450,32900
2016-01-02,32450,32900
2016-01-03,32450,32900
2016-01-04,32670,32920
2016-01-05,32640,32920
2016-01-06,32610,32890
2016-01-07,32740,33020
2016-01-08,32800,33100
2016-01-09,32800,33100
2016-01-10,32800,33100
2016-01-11,32850,33150
2016-01-12,32800,33100
2016-01-13,32630,32890
2016-01-14,32650,32910
2016-01-15,32620,32880
2016-01-16,32660,32920
2016-01-17,32660,32920
2016-01-18,32610,32870
2016-01-19,32600,32860
2016-01-20,32580,32840
2016-01-21,32640,32900
2016-01-22,32640,32900
2016-01-23,32640,32910
2016-01-24,32640,32910
2016-01-25,32640,32910
2016-01-26,32660,32920
2016-01-27,32680,32950
2016-01-28,32680,32940
2016-01-29,32640,32910
2016-01-30,32630,32900
2016-01-31,32630,32900
2016-02-01,32690,32950
2016-02-02,32730,33000
2016-02-03,32780,33050
2016-02-04,32930,33200
2016-02-05,33140,33440
2016-02-06,33140,33440
2016-02-07,33140,33440
2016-02-08,33140,33440
2016-02-09,33140,33440
2016-02-10,33140,33440
2016-02-11,33140,33440
2016-02-12,33500,34400
2016-02-13,33500,34400
2016-02-14,33500,34400
2016-02-15,33600,34000
2016-02-16,33450,33800
2016-02-17,33350,33800
2016-02-18,33150,33500
2016-02-19,33100,33650
2016-02-20,33350,33650
2016-02-21,33350,33650
2016-02-22,33150,33420
2016-02-23,33250,33500
2016-02-24,33400,33660
2016-02-25,33400,33650
2016-02-26,33350,33620
2016-02-27,33310,33560
2016-02-28,33310,33560
2016-02-29,33340,33590
2016-03-01,33350,33630
2016-03-02,33320,33580
2016-03-03,33360,33610
2016-03-04,33850,34100
2016-03-05,33750,34000
2016-03-06,33750,34000
2016-03-07,33770,34020
2016-03-08,33930,34180
2016-03-09,33720,33970
2016-03-10,33550,33800
2016-03-11,33750,34030
2016-03-12,33750,34000
2016-03-13,33750,34000
2016-03-14,33690,33960
2016-03-15,33470,33750
2016-03-16,33420,33690
2016-03-17,33660,33930
2016-03-18,33690,33910
2016-03-19,33650,33900
2016-03-20,33650,33900
2016-03-21,33480,33720
2016-03-22,33520,33750
2016-03-23,33400,33640
2016-03-24,33220,33460
2016-03-25,33160,33400
2016-03-26,33180,33430
2016-03-27,33180,33430
2016-03-28,33090,33340
2016-03-29,33040,33290
2016-03-30,33110,33350
2016-03-31,33070,33320
2016-04-01,33070,33320
2016-04-02,33030,33280
2016-04-03,33030,33280
2016-04-04,33000,33240
2016-04-05,33090,33340
2016-04-06,33000,33240
2016-04-07,33080,33340
2016-04-08,33030,33280
2016-04-09,33050,33300
2016-04-10,33050,33300
2016-04-11,33200,33430
2016-04-12,33380,33630
2016-04-13,33290,33540
2016-04-14,33130,33380
2016-04-15,33050,33300
2016-04-16,33150,33400
2016-04-17,33150,33400
2016-04-18,33150,33400
2016-04-19,33120,33370
2016-04-20,33220,33450
2016-04-21,33280,33500
2016-04-22,33220,33470
2016-04-23,33140,33390
2016-04-24,33140,33390
2016-04-25,33100,33350
2016-04-26,33080,33330
2016-04-27,33150,33350
2016-04-28,33280,33540
2016-04-29,33690,33900
2016-04-30,33950,34300
2016-05-01,33950,34300
2016-05-02,33950,34350
2016-05-03,33950,34350
2016-05-04,33830,34030
2016-05-05,33740,33950
2016-05-06,33840,34050
2016-05-07,34000,34240
2016-05-08,34000,34240
2016-05-09,33850,34050
2016-05-10,33680,33900
2016-05-11,33830,34050
2016-05-12,33820,34020
2016-05-13,33940,34140
2016-05-14,33920,34120
2016-05-15,33920,34120
2016-05-16,34010,34240
2016-05-17,33940,34180
2016-05-18,33920,34160
2016-05-19,33750,33980
2016-05-20,33780,34010
2016-05-21,33770,34000
2016-05-22,33770,34000
2016-05-23,33700,33940
2016-05-24,33510,33730
2016-05-25,33190,33440
2016-05-26,33270,33500
2016-05-27,33160,33400
2016-05-28,33140,33390
2016-05-29,33140,33390
2016-05-30,33090,33350
2016-05-31,33120,33360
2016-06-01,33210,33450
2016-06-02,33250,33500
2016-06-03,33160,33400
2016-06-04,33420,33670
2016-06-05,33420,33670
2016-06-06,33420,33670
2016-06-07,33380,33620
2016-06-08,33430,33670
2016-06-09,33570,33820
2016-06-10,33700,33950
2016-06-11,33830,34080
2016-06-12,33830,34080
2016-06-13,33990,34240
2016-06-14,33950,34200
2016-06-15,34040,34290
2016-06-16,34510,34830
2016-06-17,34080,34390
2016-06-18,34350,34650
2016-06-19,34350,34650
2016-06-20,34170,34470
2016-06-21,34140,34360
2016-06-22,33800,34010
2016-06-23,33810,34110
2016-06-24,34550,35050
2016-06-25,34650,35150
2016-06-26,34650,35150
2016-06-27,34850,35350
2016-06-28,34690,35040
2016-06-29,34980,35230
2016-06-30,34990,35240
2016-07-01,35340,35590
2016-07-02,35490,35790
2016-07-03,35490,35790
2016-07-04,36450,37000
2016-07-05,36350,36850
2016-07-06,38600,39800
2016-07-07,36600,37500
2016-07-08,36500,37200
2016-07-09,36900,37700
2016-07-10,36900,37700
2016-07-11,36950,37500
2016-07-12,36800,37350
2016-07-13,36650,37050
2016-07-14,36460,36860
2016-07-15,36520,36890
2016-07-16,36700,37050
2016-07-17,36700,37050
2016-07-18,36550,36900
2016-07-19,36470,36800
2016-07-20,36450,36750
2016-07-21,36360,36640
2016-07-22,36390,36650
2016-07-23,36390,36650
2016-07-24,36390,36650
2016-07-25,36280,36530
2016-07-26,36320,36560
2016-07-27,36270,36520
2016-07-28,36470,36720
2016-07-29,36430,36670
2016-07-30,36540,36790
2016-07-31,36540,36790
2016-08-01,36490,36740
2016-08-02,36610,36860
2016-08-03,36740,36990
2016-08-04,36610,36860
2016-08-05,36710,36950
2016-08-06,36350,36600
2016-08-07,36350,36600
2016-08-08,36350,36600
2016-08-09,36400,36620
2016-08-10,36580,36790
2016-08-11,36500,36700
2016-08-12,36470,36680
2016-08-13,36400,36630
2016-08-14,36400,36630
2016-08-15,36510,36720
2016-08-16,36590,36790
2016-08-17,36500,36710
2016-08-18,36560,36770
2016-08-19,36510,36720
2016-08-20,36510,36720
2016-08-21,36510,36720
2016-08-22,36380,36590
2016-08-23,36450,36650
2016-08-24,36400,36600
2016-08-25,36330,36540
2016-08-26,36350,36550
2016-08-27,36350,36550
2016-08-28,36350,36550
2016-08-29,36290,36500
2016-08-30,36290,36490
2016-08-31,36180,36390
2016-09-01,35980,36200
2016-09-02,36050,36300
2016-09-03,36250,36500
2016-09-04,36250,36500
2016-09-05,36180,36380
2016-09-06,36190,36390
2016-09-07,36350,36590
2016-09-08,36350,36550
2016-09-09,36230,36430
2016-09-10,36100,36340
2016-09-11,36100,36340
2016-09-12,36110,36310
2016-09-13,36120,36330
2016-09-14,36070,36280
2016-09-15,36100,36300
2016-09-16,35990,36190
2016-09-17,36000,36200
2016-09-18,36000,36200
2016-09-19,36030,36240
2016-09-20,36050,36260
2016-09-21,36100,36310
2016-09-22,36170,36380
2016-09-23,36150,36380
2016-09-24,36150,36380
2016-09-25,36150,36380
2016-09-26,36090,36300
2016-09-27,36060,36260
2016-09-28,35930,36130
2016-09-29,35930,36130
2016-09-30,35980,36180
2016-10-01,35960,36160
2016-10-02,35960,36160
2016-10-03,35910,36110
2016-10-04,35850,36050
2016-10-05,35300,35520
2016-10-06,35280,35500
2016-10-07,35270,35500
2016-10-08,35300,35530
2016-10-09,35300,35530
2016-10-10,35520,35770
2016-10-11,35500,35720
2016-10-12,35420,35640
2016-10-13,35450,35670
2016-10-14,35430,35650
2016-10-15,35430,35650
2016-10-16,35430,35650
2016-10-17,35450,35660
2016-10-18,35470,35670
2016-10-19,35530,35730
2016-10-20,35540,35740
2016-10-21,35470,35670
2016-10-22,35500,35700
2016-10-23,35500,35700
2016-10-24,35500,35700
2016-10-25,35560,35760
2016-10-26,35580,35780
2016-10-27,35580,35780
2016-10-28,35580,35780
2016-10-29,35660,35860
2016-10-30,35660,35860
2016-10-31,35640,35840
2016-11-01,35750,35950
2016-11-02,36200,36650
2016-11-03,35950,36450
2016-11-04,35950,36400
2016-11-05,36050,36550
2016-11-06,36050,36550
2016-11-07,35900,36300
2016-11-08,35900,36300
2016-11-09,36500,37200
2016-11-10,36200,36550
2016-11-11,35900,36150
2016-11-12,35550,35900
2016-11-13,35550,35900
2016-11-14,35700,35950
2016-11-15,35750,36050
2016-11-16,35750,36000
2016-11-17,35770,35970
2016-11-18,35600,35800
2016-11-19,35600,35850
2016-11-20,35600,35850
2016-11-21,35690,35850
2016-11-22,35740,35880
2016-11-23,35680,35820
2016-11-24,35450,35630
2016-11-25,35490,35640
2016-11-26,35450,35650
2016-11-27,35450,35650
2016-11-28,35650,35830
2016-11-29,35650,35820
2016-11-30,35640,35810
2016-12-01,35650,35840
2016-12-02,35950,36200
2016-12-03,36020,36350
2016-12-04,36020,36350
2016-12-05,36120,36350
2016-12-06,36250,36650
2016-12-07,36050,36450
2016-12-08,36150,36500
2016-12-09,35900,36300
2016-12-10,35850,36250
2016-12-11,35850,36250
2016-12-12,36000,36420
2016-12-13,36100,36500
2016-12-14,36100,36600
2016-12-15,35850,36350
2016-12-16,35700,36200
2016-12-17,35850,36300
2016-12-18,35850,36300
2016-12-19,36050,36520
2016-12-20,36000,36500
2016-12-21,36100,36590
2016-12-22,35950,36350
2016-12-23,36000,36350
2016-12-24,36000,36450
2016-12-25,36000,36450
2016-12-26,36000,36420
2016-12-27,36100,36470
2016-12-28,36100,36450
2016-12-29,36100,36450
2016-12-30,35900,36500
2016-12-31,36000,36500
2017-01-01,36000,36500
2017-01-02,36000,36500
2017-01-03,36050,36450
2017-01-04,36200,36480
2017-01-05,36350,36650
2017-01-06,36350,36630
2017-01-07,36350,36630
2017-01-08,36350,36630
2017-01-09,36320,36600
